i	zi	first_occurence	hsk1	hsk2	hsk3	hsk4	hsk5	hsk6	nhsk1	nhsk2	nhsk3	nhsk4	nhsk5	nhsk6	stront1	weeb1
152	坐	hsk1	坐			乘坐			请坐; 坐; 坐下				乘坐		进来吧，随便坐吧; 坐牢	
153	住	hsk1	住				忍不住	居住; 住宅	记住; 住	站住; 住房; 住院	抓住	居住	忍不住	住宅	我控制不住地; 住宅区; 住在Airbnb	每一个抖腿爱好者的心里.; 抵挡不住体内的洪荒之力
154	习	hsk1	学习		复习; 练习; 习惯	预习	实习	习俗; 演习	学习	复习; 练习; 实习; 习惯	预习			补习	实习; 坏习惯; 学习计划; 复习; 预习; 虚心学习; 生活习惯; 习惯用语; 我们要互相学习，互相帮助。; 改善生活习惯	习大大
155	作	hsk1	工作		作业	动作; 作家; 作用; 作者	合作; 写作; 作文; 制作; 作品; 作为	操作; 创作; 著作; 作弊; 作废; 作风; 作息	动作; 工作	叫作; 作家; 作文; 作业; 作用	创作; 合作; 写作; 制作; 作品; 作者	操作; 著作; 作出; 作为	工作日	炒作; 当作; 看作; 运作; 作; 作废; 作战	作业; 写完作业; 她没做完作业。; 用电脑工作; 我昨天作业没写得很好; 写作; 工作计划; 做好工作; 工作顺利; 跟我抱怨她的工作; 工作上的工作; 动作片; 合作; 作家; 抢工作	作天作地; 还有这种操作; 好单纯好不做作; 爱情动作片; 作; 不作死就不会死
156	工	hsk1	工作			工资	打工; 工厂; 工具; 工业; 手工; 员工; 工程师; 工人	罢工; 工艺品; 加工; 人工	工人; 工作	打工	工厂; 工程师; 工夫; 工具; 工业; 工资; 加工; 人工; 员工; 职工	工程; 手工	工艺; 工作日; 品	罢工; 分工; 工商; 民工; 清洁工	工具; 用电脑工作; 工资; 工作计划; 做好工作; 工作顺利; 跟我抱怨她的工作; 人工智能; 工作上的工作; 工位; 员工; 工程师; 抢工作; 最低工资; 打工	
157	雨	hsk1	下雨						下雨; 雨				雨水	暴风雨; 暴雨; 雨衣	一场雨	周冬雨式凝视; 雨神; 雨露均霑
158	爱	hsk1	爱		爱好; 可爱	爱情	爱心; 亲爱; 热爱; 爱护; 爱惜; 恋爱; 疼爱	爱不释手; 爱戴	爱; 爱好	爱情; 爱人; 可爱	爱心; 热爱	爱国; 爱护; 亲爱; 喜爱	恋爱	关爱	爱说话; 爱干净; 莉莎比我爱干净; 莉莎很爱干净; 爱师克; 性爱派对; 又爱又恨; 爱情片; 共同爱好; 爱尔兰; 爱好; 谈恋爱; 爱玩	嫁给了爱情的模样; 每一个抖腿爱好者的心里.; 爱无能; 爱笑的女孩运气不会太差; 相爱相杀; 爱情动作片; 霸道总裁爱上我; 花式秀恩爱; 累觉不爱; 真爱粉; 饭随爱豆
159	喜	hsk1	喜欢				恭喜	喜闻乐见; 喜悦	喜欢			喜爱	喜剧	惊喜	喜剧; 我都喜欢; 不是每个美国人都喜欢吃比萨饼。; 每个美国人都不喜欢吃比萨饼。	不喜勿喷; 意不意外？惊不惊喜？; 喜大普奔; 喜闻乐见
160	欢	hsk1	喜欢		欢迎			欢乐; 联欢	喜欢	欢迎	欢乐				非常欢迎; 受欢迎; 我都喜欢; 不是每个美国人都喜欢吃比萨饼。; 每个美国人都不喜欢吃比萨饼。; 欢迎	
161	想	hsk1	想			理想	感想; 思想; 想念; 幻想; 梦想; 想象	空想; 联想; 设想; 妄想; 想方设法; 着想	想	理想; 想到; 想法; 想起	思想	没想到; 梦想; 想念; 想象	感想; 联想; 设想	幻想; 想不到; 意想不到	这样做/; 我不想再喝酒了。; 一个想法; 还没想好; 为她想; 我在想...; 我想着...; 让我想起了; 要想...; 能接受新的想法; 思想开放; 猜想	世界那么大，我想去看看; 对方不想和你说话并向你扔了一只狗; 没想到你是这样的。。。; 我想静静
162	识	hsk1	认识			知识	常识	见多识广; 识别; 意识	认识; 知识			常识	意识	识; 识字	似曾相识; 知识	
163	认	hsk1	认识		认为; 认真		否认; 确认; 承认	辨认; 公认; 认定; 认可	认识; 认真	认为	否认; 认出; 认得; 认可	承认; 确认	公认; 认; 认定	认同	认真; 至少我是这么认为的; 认同	确认过眼神
164	会	hsk1	会		会议; 机会; 一会儿	聚会; 社会; 误会; 约会	宴会; 会计; 体会	博览会; 会晤; 聚精会神; 领会; 省会; 协会	会; 开会; 一会儿	不一会儿; 会; 机会; 那会儿; 晚会; 一会儿; 音乐会	会议; 会员; 社会; 体会; 演唱会	大会; 聚会; 会计; 误会; 亚运会; 约会; 运动会	博览会; 会谈	待会儿; 峰会; 国会; 会见; 会长; 协会; 学会; 宴会; 座谈会	等一会儿; 大会; 机会; 会议室; 生日聚会; 社会; 很会过日子; 会被别人笑话; 犹太会堂; 社会问题; 开会; 会议	社会我X哥/姐; 社会; 社会主义巨婴; 爱笑的女孩运气不会太差; 你的良心不会痛吗; 会聊天; 不会聊天; 城会玩; 外貌协会; 深夜发吃，报复社会; 不作死就不会死
165	能	hsk1	能	可能		能力	功能; 能干; 能源	本能; 力所能及; 难能可贵; 能量; 无能为力; 性能; 职能; 智能	能	可能; 能够; 只能	才能; 功能; 能不能; 能力	能干; 智能	不能不; 技能; 尽可能; 能量; 性能; 职能	节能; 能否; 太阳能	不可能; 可能; 一切皆有可能; 能力; 能量; 对自己的能力很自信; 人工智能; 能力很差; 能接受新的想法; 提高说话能力; 展示能力	能打; 不能同意更多; 我+可能+; 我能怎么办?; 爱无能; 解锁技能; 不能我一个人瞎; 负能量; 前方高能; 新技能; 还能不能愉快地玩耍了
166	好	hsk1	好	好吃	爱好	好处; 好像; 友好; 正好; 只好; 最好	好奇; 好客; 良好	恰到好处; 讨好	爱好; 好; 好吃; 好看; 好听; 好玩儿; 最好	不好意思; 好; 好处; 好多; 好久; 好人; 好事; 好像; 挺好; 友好; 正好	好好; 好奇; 美好; 只好	好友; 好; 良好	搞好; 好运; 也好	刚好; 好; 好似; 好转; 好学; 看好; 恰好; 要好	做好; 对...好; 对...有影响/; 对我很好; 躺平的韭菜不好割; 好笑; 好的; 我说得不太好; 我昨天作业没写得很好; 她德语比我说得好; 她德语比我说得好得多; 她德语说得比我好; 她德语说得比我好得多; 还没想好; 准备好/; 做好工作; 你觉得这件事有什么好的地方？; 好好儿; 演技很好; 好胜; 共同爱好; 有很好的关系; 友好; 对。。。有影响/有好的影响; 好客; 好处; 好坏; 爱好; 对...好奇; 好奇心; 好的关系; 让我好尴尬; 好莱坞	bhys; 好看的皮囊千篇一律，有趣的灵魂万里挑一; 活好不粘人; 每一个抖腿爱好者的心里.; 好看的皮囊千篇一律，有趣的灵魂万里挑一; 遇见更好的自己; 不装逼我们还是好朋友; 好单纯好不做作; 好奇宝宝
167	大	hsk1	大	大家		大概; 大使馆; 大约; 大夫	大厦; 大象; 广大; 巨大; 扩大; 大方; 大型; 伟大; 重大	博大精深; 大不了; 大臣; 大伙儿; 大肆; 大体; 大意; 大致; 放大; 恍然大悟; 庞大	不大; 大; 大学; 大学生	大部分; 大大; 大多数; 大海; 大家; 大量; 大门; 大人; 大声; 大小; 大衣; 大自然; 长大	大概; 大使馆; 大约; 大夫; 广大; 强大; 伟大; 重大	大巴; 大多; 大方; 大哥; 大规模; 大会; 大姐; 大楼; 大陆; 大妈; 大型; 大爷; 大众; 巨大; 扩大	大胆; 大都; 大纲; 大伙儿; 大奖赛; 大脑; 大事; 大厅; 大象; 大熊猫; 大于; 大致; 放大; 高大; 增大	大道; 大街; 大力; 大米; 大批; 大赛; 大师; 大使; 宏大; 绝大多数; 特大	大概; 大楼; 大家都是成年人了，...; 大会; 感到很大的压力; 鸭梨山大; 大便事项; 意大利面; 大众点评app; 大腿; 大堂; 高楼大厦; 大衣; 大家; 大部分; 大洋洲; 澳大利亚; 白大褂; 大山深处; 放大招; 玩笑开大了; 扩大社交圈; 忘性很大; 金门大桥; 大陆	脆皮大学生; 大猪蹄子; 大表哥; 陈大发; 大清早亡了; 大表姐; 世界那么大，我想去看看; 每一个抖腿爱好者的心里.; 大吉大利，今晚吃鸡; 母上大人; 父上大人; 大清已亡; 喜大普奔; 大快人心; 心大; 脸大; 你还记得大明湖畔的。。。吗; 抱大腿; 大写加粗; 放大招; 一大波僵尸正在接近; 习大大
168	冷	hsk1	冷			冷静	冷淡	冷酷; 冷却; 冷落	冷			寒冷; 冷静		冷气; 冷水	冷萃咖啡; 冷漠; 稍微有点儿冷; 高冷	。。。不是高冷，只是暖的不是你; 高冷; 冷笑话
169	热	hsk1	热		热情	热闹	热爱; 热心; 热烈	亲热; 热泪盈眶; 热门; 炎热	热	热情	热爱; 热烈	热闹; 热心	加热; 热量; 热门	热点; 热水; 热水器; 热线	热可可; 热情	自带热搜体质; 送你上热评; 热单; 蹭热度
170	兴	hsk1	高兴		感兴趣	兴奋		复兴; 兴隆; 兴旺; 兴高采烈; 兴致勃勃; 振兴	高兴			感兴趣; 兴奋; 兴趣		新兴; 兴旺	对...很感兴趣; 高兴; 对。。。感兴趣	
171	高	hsk1	高兴	高	提高	高速公路	高级; 高档	崇高; 高超; 高潮; 高峰; 高明; 高尚; 高涨; 兴高采烈	高; 高兴	高级; 高中; 提高	高速; 高速公路; 跳高	高潮; 高价; 高尚; 高铁; 身高	高大; 高度; 高跟鞋; 高温; 高于; 高原; 升高	高层; 高档; 高等; 高峰; 高考; 高科技; 高手	高级; 高中; 高强度间歇训练; 高铁; 高速公路; 高原反应; 高楼大厦; 高跟鞋; 很高的地位; 高兴; 心水很高; 高调; 提高; 提高汉语水平; 提高说话能力; 高冷; 高颧骨; 高管; 高血压	赛高; 高甜; 亲亲抱抱举高高; 举高高; 高光时刻; 高级脸; 高仿号; 高司令; 。。。不是高冷，只是暖的不是你; 前方高能; 高冷; 高手在民间
172	漂	hsk1	漂亮					漂浮		漂亮						干得漂亮
173	亮	hsk1	漂亮		月亮		亮	响亮		亮; 漂亮; 月亮			明亮		亮	干得漂亮
174	您	hsk2		您					您							
175	它	hsk2		它						它; 它们					它们有什么一样的地方？	
176	每	hsk2		每							每				不是每个美国人都喜欢吃比萨饼。; 每个美国人都不喜欢吃比萨饼。; 每个人都是一个孤独的岛	每一个抖腿爱好者的心里.
177	为	hsk2		为什么; 因为	认为; 为; 为了	成为; 以为	行为; 作为	见义勇为; 迄今为止; 人为; 为难; 为期; 无能为力		成为; 认为; 为; 为什么; 行为; 以为; 因为	变为; 称为; 为; 为; 为了	分为; 列为; 作为	视为; 为难; 为期; 为止; 为主	为此; 为何	成为+noun; 成为一个医生; 为了; 至少我是这么认为的; 为她想; 仅仅因为; 因为; 先干为敬; 行为; 以...为生; 在他成名前，他曾以卖艺为生	为I做E; 粉丝行为，偶像买单; 妈妈问我为什么跪著看。。。; 以梦为马
178	零	hsk2		零		零钱	零件; 零食	零星	零｜〇	零下		零食			零下; 零食	
179	两	hsk2		两				一举两得	两	两		两边	两岸	两侧; 两手	两年后	一步两步，; 气场两米八
180	百	hsk2		百		百分之	老百姓	千方百计	百		老百姓	百货		百分点	百分之二十; 百度地图; 百分之; 百分比; 老百姓	
181	千	hsk2		千		千万		千方百计		千; 千克	千万				千与千寻	好看的皮囊千篇一律，有趣的灵魂万里挑一; 好看的皮囊千篇一律，有趣的灵魂万里挑一
182	第	hsk2		第一					第							第X弹
183	次	hsk2		次		其次	次要	层次; 次品; 次序; 档次; 屡次; 名次	次; 上次; 下次		其次	次; 多次	层次; 再次	此次; 次数; 首次; 依次; 一次性	这次爬山; 我记得有一次...	这是。。。被黑得最惨的一次; 次元壁
184	件	hsk2		件	电子邮件	条件	软件; 证件; 零件; 文件; 硬件	案件; 附件; 稿件; 事件		件; 条件	电子邮件; 事件; 文件; 邮件; 证件		附件; 软件; 硬件		一件衬衫; 文件; 这件事很急; 你觉得这件事有什么好的地方？; 一件衣服; 一件外套	
185	别	hsk2		别	别人; 特别	区别; 性别	告别; 分别; 个别	别墅; 别致; 别扭; 差别; 级别; 鉴别; 派别; 识别	别; 别的; 别人	特别	分别; 告别; 区别; 性别	别; 个别	差别		她让我别说谎; 别的事情; 会被别人笑话; 别致	别说话，吻我; 你行你上，不行别瞎BB
186	常	hsk2		非常	经常	正常	常识; 平常; 通常; 日常; 照常	反常; 家常; 时常; 往常; 异常; 知足常乐	常; 常常; 非常	常见; 常用; 经常; 平常; 正常	日常; 通常	常识	时常	常规; 常年; 异常	非常欢迎; 小明花钱花得非常多; 正常; 常见; 日常生活	灰常
187	非	hsk2		非常			除非; 非	并非; 非法; 是非; 无非	非常			非	除非		非常欢迎; 小明花钱花得非常多; 非洲	
188	也	hsk2		也		也许			也	也许			也好; 再也		即使...也...; 即使我学一门很简单的语言，也需要很长时间。; 即使...	我能怎么办?; 自己挖的坑，跪著也要填完; 我也是醉了
189	还	hsk2		还	还是; 还		讨价还价	偿还; 归还; 还原	还; 还是; 还有; 还						...还可以，就是...; 还没想好	谁还不是小公主咋的; 还有这种操作; 你还记得大明湖畔的。。。吗; 不装逼我们还是好朋友; 还能不能愉快地玩耍了
190	最	hsk2		最	最后; 最近	最好	最初		最; 最好; 最后	最近		最初		最佳; 最终	最后一秒; 最低工资	这是。。。被黑得最惨的一次; 地表最强; 史上最。。。; 我走过最远的路，是你的套路; 陪伴，是最长情的告白
191	真	hsk2		真	认真	传真; 真正	天真; 真实	清真; 真理; 真相; 真挚	认真; 真; 真的	真正	真实	天真	传真; 真诚; 真理; 真相		说真话; 认真; 真正; 清真寺	zqsg; 少一点套路，多一点真诚; 讲真; 贵圈真乱; 真爱粉
192	正	hsk2		正在		真正; 正常; 正好; 正确; 正式	反正; 改正; 正	端正; 更正; 公正; 纠正; 正月; 正当; 正负; 正规; 正经; 正气; 正义; 正宗	正; 正在	真正; 正常; 正好; 正确; 正是	反正; 正; 正式	改正	公正; 正版; 正规; 正如; 正义	纠正; 正当	正式; 正确; 正常; 正宗; 真正; 正后面; 纠正	一本正经地胡说八道; 一本正经地胡说八道; 伟光正; 正在提刀赶来的路上; 口嫌体正直; 颜即正义; ; 一大波僵尸正在接近
193	已	hsk2		已经				不得已; 而已		已经	已; 早已				已经...了; 他已经付钱了。	已婚少女; 人设已崩; 大清已亡; 血槽已空
194	经	hsk2		已经	经常; 经过; 经理	经济; 经历; 经验	经典; 曾经; 经商; 经营	饱经沧桑; 经费; 经纬; 神经; 正经		经常; 经过; 经理; 已经	曾经; 经济; 经历; 经验; 经营	经典	经费; 神经	总经理	已经...了; 经历; 经过; 经理; 他已经付钱了。; 经济; 神经; 触动神经; 经验	sjb; 一本正经地胡说八道; 一本正经地胡说八道; 神经病啊; 鬼知道我经历了什么; 男神经
195	就	hsk2		就			成就	将就; 就近; 就业; 就职; 迁就	就	就要; 早就	成就; 就是; 就业			就是说; 就算; 这就是说	...还可以，就是...; 他们下个星期就要结婚了。; 他们快要/就要结婚了。; 早就...了; 妈妈一起床就做早饭; 一...就...; 一般就说	我就笑笑不说话; 是中国人就转; 装完逼就跑; 不扶墙就服你; 一言不合就。。。; 不作死就不会死
196	因	hsk2		因为		因此; 原因	因素; 因而	基因		因为; 原因	因此		因而	因; 因素	原因; 仅仅因为; 因为	
197	以	hsk2		因为; 可以	以前	以; 以为	以来; 以及	全力以赴; 以便; 以免; 以往; 以至; 以致; 足以		可以; 所以; 以后; 以前; 以上; 以外; 以为; 以下	以来	以及; 以内	得以; 加以; 难以; 以便; 以往	足以	以前; ...还可以，就是...; X以上; 所以; 以色列; 以...为生; 在他成名前，他曾以卖艺为生	阔以; 可以说是; 明明可以靠脸吃饭,; 以梦为马
198	所	hsk2		因为		厕所; 所有	所; 无所谓	场所; 理所当然; 力所能及; 众所周知		所以; 所有	场所; 所; 所长	无所谓	所在; 研究所	厕所; 所	所以	这盛世如你所愿
199	但	hsk2		虽然	不但					不但; 但; 但是					虽然...但是...	
200	然	hsk2		虽然	当然; 然后; 突然	既然; 竟然; 然而; 仍然; 自然	必然; 不然; 显然; 依然; 果然; 忽然; 居然; 偶然	公然; 固然; 恍然大悟; 理所当然; 茫然; 天然气; 一目了然; 毅然		大自然; 忽然; 然后; 虽然	必然; 当然; 果然; 仍然; 突然; 显然; 自然	不然; 既然; 竟然; 然而; 依然	居然; 偶然; 天然气	天然; 要不然	虽然...但是...; 自然; 王一然; 虽然; 坦然	然鹅; 然并卵
201	虽	hsk2		虽然						虽然				虽	虽然...但是...; 虽然	
202	从	hsk2		从		从来	从而; 从前; 从此; 从事; 自从	从容; 服从	从	从小	从来; 从前; 从事; 自从	从此	从而; 从中; 服从	从不; 从没	从...开始; 从商	从此节操是路人
203	比	hsk2		比	比较; 比赛	比如	比例; 对比	比方; 比喻; 比重; 无比	比	比如; 比如说	比较; 比例; 比赛; 相比	比分; 对比	比方; 比重		比如说; 比较; 跟...比起来; 欧洲的水电费比美国的要贵; 她德语比我说得好; 她德语比我说得好得多; 她德语说得比我好; 她德语说得比我好得多; 小明钱比小李花得多得多; 莉莎比我爱干净; 比萨饼; 不是每个美国人都喜欢吃比萨饼。; 每个美国人都不喜欢吃比萨饼。; 一场比赛; 参加比赛; 百分比; 比方说	霍比特人; 比心; 逗逼=逗比
204	往	hsk2		往		往往	交往; 往返	礼尚往来; 往常; 往事; 向往; 以往; 一如既往		往	交往; 前往; 往往		以往	来往; 往后; 往来; 往年	一直往前走	
205	离	hsk2		离	离开	距离	离婚	隔离; 脱离		离; 离开	离婚	距离; 离不开	分离; 脱离	撤离; 远离	药店离我家走路五分钟; 《离婚律师》	嫉妒使我质壁分离; 逃离北上广
206	得	hsk2		得; 觉得	记得	不得不; 得意; 得; 获得; 来得及; 值得	不见得; 怪不得; 舍不得; 不得了; 显得	巴不得; 不得已; 不由得; 得不偿失; 得力; 得天独厚; 得罪; 恨不得; 免得; 难得; 心得; 一举两得	得到; 记得; 觉得	得; 得出; 得; 懂得; 取得	不得不; 得分; 认得; 显得; 值得	得意; 得; 获得; 来得及; 赢得	不得了; 得了; 得以; 难得; 舍不得; 舍得; 使得	看得见; 看得起; 免得; 晓得; 用得着; 只得	值得; 得; 觉得很满足; 我个人觉得; 我说得不太好; 我昨天作业没写得很好; 她德语比我说得好; 她德语比我说得好得多; 她德语说得比我好; 她德语说得比我好得多; 小明花钱花得非常多; 小明钱比小李花得多得多; 你觉得这件事有什么好的地方？; 记得; 我记得有一次...; 哪儿穿得; 你觉得呢？; 变得很健忘	这是。。。被黑得最惨的一次; 得罪造型师; 干得漂亮; 求锤得锤; 你还记得大明湖畔的。。。吗; 笑得像钟汉良一样; 得瑟
207	着	hsk2		着	着急	接着; 随着	着火; 着凉	沉着; 意味着; 着迷; 执着; 着手; 着想; 着重	着	接着		睡着; 着; 着火; 着急	随着; 意味着; 用不着; 有着	挨着; 背着; 沿着; 用得着; 指着	着火; 着急; 着迷; 对...着迷; 我想着...; 我觉着...; 摆着; 骑着	
208	过	hsk2		过	过去; 过; 经过; 难过	不过; 超过; 过程; 通过	度过; 过敏; 过分; 过期	过度; 过渡; 过奖; 过滤; 过失; 过问; 过瘾; 过于	过	不过; 超过; 过来; 过年; 过去; 过; 见过; 经过; 难过; 通过; 走过	过程; 过去	度过; 过分	过度; 过敏; 过于; 只不过	错过; 过渡; 过后; 过时; 路过	难过; 过新年; 过去; 经过; 过朋友家去; 过程; 开过分的玩笑; 过塑; 很会过日子; 错过; 过日子; 过节; 过马路; 你太过分了; 过分了; 这么说太过分了; 过期; 超过	低分飘过; 这种男友不分留著过年么; 确认过眼神; 过气网红; 我走过最远的路，是你的套路; 反射弧过长; 用力过猛
209	吧	hsk2		吧			酒吧		吧			酒吧		网吧	我有一些饼干，你拿去吧; 进来吧，随便坐吧; 随便吃吧	吧啦吧啦
210	场	hsk2		机场		场	操场; 市场; 广场	场合; 场面; 场所; 当场; 立场; 现场	机场; 商场	场; 广场; 球场; 体育场; 停车场	场合; 场所; 剧场; 全场; 市场; 现场	操场	场面; 当场; 立场; 在场	场地; 场馆; 场景; 出场; 考场; 赛场; 战场	一场雨; 一场雪; 看一场电影; 一场比赛; 一场考试; 市场; 农贸市场; 菜市场; 赌场; 有市场; 时代广场	锁场; 气场两米八
211	教	hsk2		教室	教	教授; 教育	教材; 教训; 教练	教养; 请教; 宗教	教; 教学楼	教师; 教室; 教学; 教育	教材; 教练; 请教	教授; 教训		道教; 佛教; 基督教; 教堂; 教育部; 宗教	我叫女朋友教我中文。; 教; 基督教; 宗教; 教室; 教育; 家庭教育; 佛教; 教堂	咆哮教主; 教科书般; 都教授
212	室	hsk2		教室	办公室		卧室			办公室; 教室	实验室; 室		卧室; 阅览室	地下室	室友; 办公室; 卧室; 咨询室; 休息室; 教室; 会议室	
213	房	hsk2		房间		厨房; 房东			房间; 房子	住房	房东; 房屋; 房租		厨房	病房; 房价; 楼房; 书房	这个房间很黑。; 房子; 房间; 房东; 健身房; 厨房; 租房子; 一栋房子; 一套房子; 我的偶像塌房了	
214	间	hsk2		房间; 时间	洗手间; 中间	卫生间	空间; 期间	间谍; 间隔; 间接; 民间; 人间; 瞬间	房间; 间; 时间; 洗手间; 中间		民间; 卫生间	空间; 期间; 之间	间接; 人间; 夜间		这个房间很黑。; 时间; 房间; 高强度间歇训练; 即使我学一门很简单的语言，也需要很长时间。; 打扫; 众创空间; 空间; 在当地时间	贤者时间; 高手在民间
215	路	hsk2		路		高速公路; 迷路		出路	路; 路口; 路上; 马路; 走路	道路; 公路; 路边; 问路; 一路平安; 一路顺风	高速公路; 路线; 铁路		一路	出路; 路过; 线路; 一路上	药店离我家走路五分钟; 高速公路; 过马路	花路; 不按套路出牌; 正在提刀赶来的路上; 脑回路清奇; 马路杀手; 套路; 我走过最远的路，是你的套路; 少一点套路，多一点真诚; 从此节操是路人; 路; 路透
216	左	hsk2		左边		左右			左; 左边		左右					白左
217	边	hsk2		左边; 右边; 旁边	一边			边疆; 边界; 边境; 边缘; 周边	北边; 东边; 后边; 里边; 那边; 南边; 旁边; 前边; 上边; 外边; 西边; 下边; 一边; 右边; 这边; 左边	边; 海边; 路边; 身边		两边	边境	边缘; 无边	你身边; 北边	周边
218	右	hsk2		右边		左右		座右铭	右; 右边		左右					
219	外	hsk2		外		另外	此外; 外公; 意外; 格外; 外交	额外; 例外; 外表; 外行; 外界; 外向	国外; 外; 外边; 外国; 外语	外地; 外卖; 以外	另外; 外交; 外面; 外文; 意外	此外; 格外; 外汇; 外交官; 外套	例外; 外界; 之外	对外; 海外; 户外; 内外; 外币; 外部; 外出; 外观; 外科; 外来; 外头; 外衣; 外资; 中外	拿咖啡/; 一件外套; 外套; 校外; 外貌; 外在; 圈外人; 野外; 乡郊野外	菊外人; 意不意外？惊不惊喜？; 墙外; 外貌协会; 霸气外露
220	旁	hsk2		旁边					旁边				旁			旁友
221	早	hsk2		早上			迟早	及早	早; 早饭; 早上	早餐; 早晨; 早就	早已		早期	早晚	早睡早起; 早就...了; 早日康复！; 妈妈一起床就做早饭; 早点	早F晚E; 早C晚A; 大清早亡了
222	晚	hsk2		晚上			傍晚		晚; 晚饭; 晚上	晚安; 晚报; 晚餐; 晚会		晚点		傍晚; 早晚	晚睡晚起; 精致的晚餐	早F晚E; 早C晚A; 大吉大利，今晚吃鸡
223	日	hsk2		日; 生日	节日	日记	日程; 日历; 日用品; 日常; 日期; 日子	日新月异; 日益; 昔日; 与日俱增	日; 日期; 生日; 星期日	节日; 日报; 日子	日常	日记; 日历	工作日; 今日	假日; 节假日; 近日; 明日; 日夜; 日语	周年纪念日; 生日卡; 早日康复！; 一篇日记; 生日聚会; 很会过日子; 过日子; 日程; 日食; 日常生活; 日剧	今日份; 抗日神剧; 丁日; 日了狗
224	哥	hsk2		哥哥					哥哥｜哥			大哥; 帅哥				小孩哥/姐; 蛙哥; 大表哥; 社会我X哥/姐; 锤哥; 犀利哥; 火星哥; 厉害了我的哥
225	弟	hsk2		弟弟			兄弟	徒弟	弟弟｜弟			兄弟		徒弟		三石弟弟; 四字弟弟; 迷弟
226	妹	hsk2		妹妹					妹妹｜妹			姐妹				上头姐妹; 软妹; 塑料花姐妹情; 迷妹; 把妹; 撩妹
227	夫	hsk2		丈夫		大夫; 功夫		夫妇; 夫人			大夫; 工夫; 功夫	夫妇; 夫妻; 夫人; 丈夫			丈夫; 丈夫和妻子; 未婚夫和未婚妻; 夫妇	老夫的少女心; 囧瑟夫
228	丈	hsk2		丈夫								丈夫			丈夫; 丈夫和妻子	
229	妻	hsk2		妻子								夫妻; 妻子			妻子; 丈夫和妻子; 未婚夫和未婚妻	
230	孩	hsk2		孩子					孩子; 男孩儿; 女孩儿; 小孩儿							小孩哥/姐; 镇魂女孩; 救救孩子; 做一个精致的猪猪女孩; 猪精女孩; 爱笑的女孩运气不会太差
231	男	hsk2		男人					男; 男孩儿; 男朋友; 男人; 男生		男子	男女; 男士	男性		前男友; 直男	钢铁直男; 犬系男; 狼系男; 猫系男; 这种男友不分留著过年么; 男票; 男频; 男神经; 剩男; 男友力; 男友力MAX; 凤凰男; 男神/女神; 渣男; 深柜男; 男闺蜜
232	务	hsk2		服务员		任务	家务; 商务; 义务; 业务	财务; 当务之急; 公务; 国务院; 事务; 务必; 职务		服务	公务员; 任务; 员	家务; 商务; 义务	业务; 职务		服务; 服务员; 家务; 公务员	
233	员	hsk2		服务员		售货员; 演员	员工; 人员	裁员; 成员; 动员; 委员			成员; 队员; 公务员; 会员; 人员; 演员; 员; 员工	售货员; 运动员	动员	船员; 飞行员; 球员; 伤员; 学员; 宇航员	服务员; 运动员; 做运动员; 程序员; 员工; 飞行员; 演员; 售货员; 裁员; 公务员; 游泳运动员; 政府官员	
234	鱼	hsk2		鱼						鱼					一条鱼; 鱼缸; 三文鱼	鲈鱼
235	羊	hsk2		羊肉							羊					
236	肉	hsk2		羊肉			肌肉		肉				肌肉; 烤肉		红肉橙	肉体饭; 生肉; 熟肉; 小鲜肉
237	奶	hsk2		牛奶	奶奶				奶; 奶奶; 牛奶		奶茶	酸奶		奶粉; 奶牛	王奶婷	奶凶奶凶; 小奶狗
238	牛	hsk2		牛奶			牛仔裤	吹牛	牛奶		牛		牛; 牛仔裤	奶牛	红牛; 牛角包; 放牛; 牛	
239	蛋	hsk2		鸡蛋	蛋糕			蛋白质	鸡蛋	蛋			蛋糕		煎鸡蛋; 炒鸡蛋; 蒸鸡蛋; 煮鸡蛋; 鸡蛋碰石头; 蛋	蛋妞儿; 彩蛋
240	鸡	hsk2		鸡蛋					鸡蛋	鸡				公鸡; 母鸡	煎鸡蛋; 炒鸡蛋; 蒸鸡蛋; 煮鸡蛋; 鸡蛋碰石头	马杀鸡; 大吉大利，今晚吃鸡; 吉米鸡毛秀; 麻辣鸡; 干了这碗毒鸡汤; 炒鸡; 鸡冻
241	瓜	hsk2		西瓜								瓜; 黄瓜; 西瓜				吃瓜群众
242	啡	hsk2		咖啡							咖啡				拿咖啡/; 冷萃咖啡	
243	咖	hsk2		咖啡							咖啡				拿咖啡/; 冷萃咖啡	咖位
244	雪	hsk2		雪				雪上加霜		下雪; 雪		冰雪			一场雪; 雪山	囧雪诺
245	药	hsk2		药				火药		药; 药店; 药片; 药水		药物	中药	药品; 医药; 炸药	药店离我家走路五分钟; 药店; 药妆店	
