对面	(sitting) opposite; across (the street); directly in front; to be face to face
常规	code of conduct; conventions; common practice; routine (medical procedure etc)
电台	transmitter-receiver; broadcasting station; radio station; CL:個|个[ge4],家[jia1]
订	to agree; to conclude; to draw up; to subscribe to (a newspaper etc); to order
昂	to lift; to raise; to raise one's head; high; high spirits; soaring; expensive
沉闷	oppressive (of weather); heavy; depressed; not happy; (of sound) dull; muffled
喘气	to breathe deeply; to pant; to gasp; to take a breather; to catch one's breath
目录	catalog; table of contents; directory (on computer hard drive); list; contents
实在	really; actually; indeed; true; real; honest; dependable; (philosophy) reality
数字	numeral; digit; number; figure; amount; digital (electronics etc); CL:個|个[ge4]
齐	neat; even; level with; identical; simultaneous; all together; to even sth out
凭	to lean against; to rely on; on the basis of; no matter (how, what etc); proof
名胜	a place famous for its scenery or historical relics; scenic spot; CL:處|处[chu4]
赛	to compete; competition; match; to surpass; better than; superior to; to excel
上市	to hit the market (of a new product); to float (a company on the stock market)
胡乱	careless; reckless; casually; absent-mindedly; at will; at random; any old how
证	certificate; proof; to prove; to demonstrate; to confirm; variant of 症[zheng4]
转动	to rotate (about an axis); to revolve; to turn; to move in a circle; to gyrate
灵感	inspiration; insight; a burst of creativity in scientific or artistic endeavor
掐	to pick (flowers); to pinch; to nip; to pinch off; to clutch; (slang) to fight
师范	teacher-training; pedagogical; normal (school, e.g. Beijing Normal University)
压抑	to constrain or repress emotions; oppressive; stifling; depressing; repression
打扮	to decorate; to dress; to make up; to adorn; manner of dressing; style of dress
反应	to react; to respond; reaction; response; reply; chemical reaction; CL:個|个[ge4]
管理	to supervise; to manage; to administer; management; administration; CL:個|个[ge4]
骨头	bone; CL:根[gen1],塊|块[kuai4]; moral character; bitterness; Taiwan pr. [gu2 tou5]
分成	to divide (into); to split a bonus; to break into; tenths; percentage allotment
秒	second (unit of time); arc second (angular measurement unit); (coll.) instantly
消化	to digest (food); (fig.) to absorb (information etc); to assimilate; to process
慌	to get panicky; to lose one's head; (coll.) (after 得[de2]) unbearably; terribly
披	to drape over one's shoulders; to open; to unroll; to split open; to spread out
区别	difference; to distinguish; to discriminate; to make a distinction; CL:個|个[ge4]
过时	old-fashioned; out of date; to be later than the time stipulated or agreed upon
失败	to be defeated; to lose; to fail (e.g. experiments); failure; defeat; CL:次[ci4]
抵制	to resist; to boycott; to refuse (to cooperate); to reject; resistance; refusal
垫	pad; cushion; mat; to pad out; to fill a gap; to pay for sb; to advance (money)
考核	to examine; to check up on; to assess; to review; appraisal; review; evaluation
填空	to fill a job vacancy; to fill in a blank (e.g. on questionnaire or exam paper)
球场	stadium; sports ground; court; pitch; field; golf course; CL:個|个[ge4],處|处[chu4]
原来	original; former; originally; formerly; at first; so, actually, as it turns out
分歧	divergent; difference (of opinion, position); disagreement; (math.) bifurcation
资料	material; resources; data; information; profile (Internet); CL:份[fen4],個|个[ge4]
评	to discuss; to comment; to criticize; to judge; to choose (by public appraisal)
勺	spoon; ladle; CL:把[ba3]; abbr. for 公勺[gong1 shao2], centiliter (unit of volume)
围	to encircle; to surround; all around; to wear by wrapping around (scarf, shawl)
好客	hospitality; to treat guests well; to enjoy having guests; hospitable; friendly
员	(bound form) person engaged in a certain field of activity; (bound form) member
夹杂	to mix together (disparate substances); to mingle; a mix; to be tangled up with
钟	clock; o'clock; time as measured in hours and minutes; bell; CL:架[jia4],座[zuo4]
印	to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image
打扮	to decorate; to dress; to make up; to adorn; manner of dressing; style of dress
刹车	to brake (when driving); to stop; to switch off; to check (bad habits); a brake
以至	down to; up to; to such an extent as to ...; also written 以至於|以至于[yi3 zhi4 yu2]
执着	to be strongly attached to; to be dedicated; to cling to; (Buddhism) attachment
不得不	have no choice or option but to; cannot but; have to; can't help it; can't avoid
避	to avoid; to shun; to flee; to escape; to keep away from; to leave; to hide from
西皮	one of the two chief types of music in Chinese opera; see also 二黃|二黄[er4 huang2]
不要紧	unimportant; not serious; it doesn't matter; never mind; it looks all right, but
补	to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement
车号	vehicle number (license plate number, taxi number, bus number, train car number)
没事儿	to have spare time; free from work; it's not important; it's nothing; never mind
具备	to possess; to have; equipped with; able to fulfill (conditions or requirements)
回报	(in) return; reciprocation; payback; retaliation; to report back; to reciprocate
伙	companion; partner; group; classifier for groups of people; to combine; together
回收	to recycle; to reclaim; to retrieve; to recover; to recall (a defective product)
地步	stage; degree (to which a situation has evolved); a (usu. bad) situation; leeway
颗	classifier for small spheres, pearls, corn grains, teeth, hearts, satellites etc
截止	to close; to stop; to put a stop to sth; cut-off point; stopping point; deadline
进攻	to attack; to assault; to go on the offensive; attack; assault; offense (sports)
立	to stand; to set up; to establish; to lay down; to draw up; at once; immediately
模样	look; style; appearance; approximation; about; CL:個|个[ge4]; also pr. [mo2 yang4]
愉快	cheerful; cheerily; delightful; pleasant; pleasantly; pleasing; happy; delighted
废寝忘食	(idiom) to skip one's sleep and meals; to be completely wrapped up in one's work
时刻	time; juncture; moment; period of time; CL:個|个[ge4],段[duan4]; constantly; always
套餐	set meal; (fig.) product or service package (e.g. for a cell phone subscription)
黑暗料理	n. Dark cuisine. Bizarre foods or weird food combinations that look distasteful.
同期	the corresponding time period (in a different year etc); concurrent; synchronous
各種	adj. All kinds of. This Internet slang term is usually followed by an adjective.
章	chapter; section; clause; movement (of symphony); seal; badge; regulation; order
过节	to celebrate a festival; after the celebrations (i.e. once the festival is over)
刻薄	unkind; harsh; cutting; mean; acrimony; to embezzle by making illegal deductions
事务	(political, economic etc) affairs; work; transaction (as in a computer database)
淘汰	to wash out; (fig.) to cull; to weed out; to eliminate; to die out; to phase out
大方	generous; magnanimous; stylish; in good taste; easy-mannered; natural and relaxed
史詩級	adj. Epic poem-level. This Internet slang term means reaching a very high degree.
瘦	thin; to lose weight; (of clothing) tight; (of meat) lean; (of land) unproductive
洞	cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:個|个[ge4]
工夫	period of time (may be months, or mere seconds); spare time; skill; labor; effort
