我	I
渠	drain
缔	connection
赴	attend
犬	dog
陷	trap
瘸	lame
嚷	shout
饶	rich
恕	forgive
祸	disaster
惹	to provoke
眶	eye socket
盈	full
仁	humane
溶	dissolve
揉	knead
儒	scholar
若	like
谎	lies
撒	let go
嫂	sister-in-law
啥	what
筛	sieve
烁	bright
擅	expert
筋	muscle
捎	deliver
梢	tip
哨	sentry
奢	extravagant
侈	extravagant
舌	tongue
氏	clan
绅	gentry
吟	chant
呻	groan
圣	holy
仙	immortal
审	examine
渗	to seep
疏	sparse
肖	resemble
锈	rust
畜	livestock
牲	domestic animal
尸	corpse
野	field
逝	pass away
竖	erect
缚	bind
耍	play
衰	decline
涮	rinse
胞	placenta
爽	invigorating
泥	mud
瞬	wink
斯	this
肢	limb
庙	temple
寺	temple
惮	dread
饲	raising
耸	towering
艘	ship
苏	revive
讼	litigation
隧	tunnel
塌	to collapse
塔	pagoda
泰	peaceful
瘫	paralyzed
痪	illness
婪	avaricious
贪	greedy
摊	vendor's stand
叹	to sigh
倘	if
掏	fish out
滔	deluge
瓷	chinaware
陶	pottery
汰	discard
伦	human relationship
堂	hall
田	field
径	footpath
舔	lick
剔	scrape
剂	dose
衅	quarrel
滞	sluggish
亭	pavilion
膨	swollen
胀	swollen
讯	question
缉	seize
铜	copper
掷	toss
秃	bald
壤	soil
拖	drag
妥	suitable
椭	ellipse
唾	spit
掘	dig
挖	dig
娃	baby
瓦	roof tile
哇	wow
丸	ball
顽	mischievous
挽	pull
惋	regret
妄	absurd
伪	fake
畏	fear
蔚	luxuriant
雅	elegant
窝	nest
乌	crow
诬	accuse falsely
耻	shame
衷	feelings
赖	depend
蹈	to tread
侠	heroic
侮	insult
辱	disgrace
溪	creek
膝	knee
熄	extinguish
昔	former times
牺	sacrifice
媳	daughter-in-law
袭	raid
悦	pleased
菌	bacteria
霞	sunset
狭	narrow
隘	narrow
峡	gorge
掀	to lift
纤	fine
弦	string
嫌	dislike
贤	virtuous
衔	hold
宪	constitution
阱	pitfall
馅	stuffing
嵌	inlay
镶	inlay
镇	to subdue
巷	lane
翼	wing
潇	clear
携	to carry
泄	leak
郎	minister
颖	clever
薪	firewood
仰	look up
腥	fishy
旺	prosperous
刑	punishment
勃	thrive
膛	hollow
涌	rush forth
汹	torrential
凶	terrible
绣	embroider
嗅	smell
酗	drunk
牧	herd
喧	clamor
哗	clamor
悬	suspend
崖	cliff
耀	brilliant
炫	dazzle
霜	frost
熏	smoke
循	to follow
巡	patrol
觅	seek
抑	restrain
榨	press
鸦	crow
雀	sparrow
淹	to flood
峻	harsh
沿	along
岩	cliff
掩	to cover
遥	distant
谣	rumor
蛮	barbarian
液	liquid
裳	skirts
仪	apparatus
亦	also
帆	sail
苟	careless
毅	resolute
蔽	cover
隐	hidden
瞒	conceal
擎	hold up
婴	infant
恒	constant
踊	leap
郁	melancholy
腻	greasy
漆	paint
紊	disorderly
稚	infantile
诱	to entice
蠢	stupid
愚	stupid
舆	carriage
渔	fisherman
绒	velvet
宇	universe
宙	eternity
愈	recover
兆	omen
欲	desire
冤	injustice
枉	unjust
宵	night
谱	chart
岳	mountain peak
熨	iron
蕴	accumulate
酿	to ferment
酝	brew
砸	smash
咋	how
栽	plant
宰	slaughter
攒	collect
蹋	step on
遭	meet by chance
殃	calamity
噪	chirp
贼	thief
赠	to give
渣	slag
扎	tie
眨	blink
诈	cheat
券	certificate
债	debt
沾	moisten
瞻	gaze
钉	nail
斩	behead
崭	towering
役	forced labor
帐	curtain
篷	sail
蓬	disheveled
沼	pond
泽	pond
遮	cover
稀	rare
珠	pearl
侦	spy
斟	pour
酌	deliberate
枕	pillow
撼	shake
蒸	steam
宗	sect
郑	Zheng
枝	branch
撑	support
援	help
柱	pillar
肪	fat
脂	fat
侄	nephew
忠	loyal
央	beg
瘤	tumor
肿	swell
州	province
舟	boat
粥	congee
皱	wrinkle
纹	line/pattern
昼	daytime
株	tree trunk
诸	all
拄	lean on
宅	residence
驻	halt
铸	cast
拽	drag
砖	brick
卸	unload
庄	farmstead
稼	sow
幢	banner
悼	mourn
坠	fall
琢	cut
卓	outstanding
滋	nourish
旨	purpose
棕	palm
廊	corridor
揍	hit
赁	rent
挠	scratch
祖	ancestor
钻	drill
唇	lip
铭	engrave
诶	hey
莓	berry
樱	cherry
韭	leek
燕	swallow
枣	jujube
莉	jasmine
莎	katydid
柏	cedar
骏	spirited
崎	mountainous
尼	Buddhist nun
迪	to enlighten
弓	bow
曹	surname Cao
楠	Chinese cedar
龚	surname
劉	surname Liu
蘇	no definition found
刘	surname Liu
萝	radish
婷	graceful
杨	poplar
萨	Bodhisattva
瑞	lucky
杭	Hangzhou
肘	elbow
鼾	snore
臊	shame
萃	collect
柚	pomelo
迦	phonetic
恤	sympathy
噩	startling
歐	Europe
楂	hawthorn
梗	block
杏	apricot
芝	Zoysia
悚	frightened
鑄	cast
鐵	iron
籽	seeds
茴	fennel
腊	dried meat
罗	gather
兰	orchid
嗑	to crack
澳	bay
蜓	dragonfly
蜻	dragonfly
矶	breakwater
杉	China fir
洛	Luo
熙	bright
攘	reject
埃	dust
褂	garment
荜	bean
遛	stroll
芹	celery
穆	solemn
岭	mountain range
粤	Cantonese
勒	rein
祷	prayer
祈	pray
蜘	spider
蛛	spider
蟑	cockroach
螂	dragonfly
瑜	excellence
伽	phonetic
脊	spine
颧	cheek bones
奸	wicked
绦	braid
卵	egg
砂	sand
腕	wrist
莱	weed
坞	dock
俏	charming
俄	Russia
寨	stronghold
尿	urine
缸	jar
坍	collapse
棺	coffin
丹	red
瑰	extraordinary
玫	rose
廷	palace
铲	shovel
屎	feces
菊	chrysanthemum
蹄	hoof
撩	tease
怼	criticize
氪	krypton
沦	sink
蛙	frog
嗔	angry
惚	indistinct
糯	glutinous
咪	meow
啾	wail
鹅	goose
槽	trough
猝	abruptly
跚	stagger
鹿	deer
蹒	hobble
麅	a small spotted deer found in north China
戳	poke
姬	woman
戾	ruthless
囊	sack
妖	goblin
垮	collapse
粑	cake
哮	roar
咆	roar
煞	fiend
斧	hatchet
婊	prostitute
菇	mushroom
乃	thus
艾	mugwort
嫖	visit a prostitute
纫	thread
鲈	perch
肾	kidney
寡	few
栗	cold
拱	surround
霾	haze
囧	emoticon
犀	rhinoceros
虾	shrimp
葛	kudzu
妞	girl
瑟	harp
蹭	rub against
汪	expanse
噜	grumble
爪	claws
痴	foolish
拗	bend
叒	obedient
叕	join
碾	grind
芯	pith
贱	despicable
莲	lotus
荷	lotus
霑	moistened
碧	green jade
撸	rub
啪	bang
蠛	minute flies
酥	flaky
哒	clatter
巅	summit
懵	stupid
凤	phoenix
凰	phoenix
耿	bright
弧	arc
拯	aid
哏	funny
溺	drown
剁	chop
壕	moat
玛	agate
咯	cough
咚	thud
闺	boudoir
喵	meow
佬	male
葩	flower corolla
薅	weed
荆	chaste tree
咒	incantation
棘	thorns
嬉	amusement
嘹	clear
兹	now
薅	weed
荆	chaste tree
咒	incantation
棘	thorns
嬉	amusement
嘹	clear
兹	now
薅	weed
荆	chaste tree
咒	incantation
棘	thorns
嬉	amusement
嘹	clear
兹	now
荆	chaste tree
薅	weed
兹	now
嬉	amusement
咒	curse
嘹	clear sound
棘	thorns
诅	curse
沈	juice
伊	he/she/you
渊	deep
薹	Carex dispalatha
锣	gong
芸	rue
飒	wind
麸	bran
乂	govern
乇	grass
乩	divine
亍	step
斋	fasting
亢	overbearing
仕	official
兀	towering
兮	particle
冋	archaic
冏	bright
冼	surname
凊	cold
匜	washbasin
匡	rectify
卟	organic compound
卬	I, me
卯	mortise
厄	distressed
囚	prisoner
尧	Yao (surname and legendary emperor)
壬	ninth
変	change
夌	dawdle
屯	station
岀	out
巫	shaman
巿	market
弑	patricide
弘	great
彖	divination
彦	accomplished
徐	slowly
扉	single-leaf door
扱	collect
攰	exhausted
攲	uneven
毙	die
斌	gentleman
斓	colorful
斛	measuring vessel
晩	evening
皓	bright
歆	pleased
歾	to end
殆	dangerous
殉	to die for a cause
殷	abundant
毡	felt
氢	hydrogen
氲	misty
氽	to float
卤	brine
瀣	mist
牟	seek
牤	bull
犮	pull
犷	rough
玆	this
莹	luster
玺	seal
珑	tinkling
瓢	dipper
瓮	pottery container
罂	earthen jar
甡	multitude
甥	nephew
甫	barely
甬	river path
甸	suburbs
疍	variant
疔	boil
癸	tenth
皁	black
皲	chap
盂	basin
卢	Lu
矜	boast
矣	final particle
矬	short
矫	to correct
硌	to press against
硏	research
磺	sulfur
祭	sacrifice
禹	Yu the Great
禺	monkey
竿	pole
笛	flute
簧	reed
羚	antelope
翁	elderly man
翠	bluish-green
耄	aged
耔	hoeing
耘	weeding
聆	listening
聒	raucous
肄	learn
肇	origin
胥	all
臬	guidepost
臻	utmost
臾	moment
舀	ladle
舂	pound
舐	lick
舜	Shun
舫	boat
茬	stubble
虔	reverent
蚊	mosquito
蚤	flea
袄	coat
覃	deep
豁	opening
豉	fermented beans
豌	peas
豚	pig
豹	leopard
豺	jackal
贞	chaste
赦	pardon
赫	awe-inspiring
轧	to crush
邕	river
邦	country
釉	glaze
靖	peaceful
靓	beautiful
靡	waste
腼	bashful
靥	dimple
靴	boots
韩	Korea
韫	contain
韵	rhyme
飓	hurricane
馗	crossroads
馥	fragrance
馨	fragrant
驹	colt
骇	astonish
鬃	mane
骰	dice
骷	skeleton
骸	bones
鬓	temples
鬴	cooking pot
鬵	cauldron
鬷	kettle
鲑	salmon
麋	moose
麒	mythical creature
麓	foot of a hill
麾	signal flag
黏	sticky
黔	Guizhou province
黛	eyebrow dye
鼋	sea turtle
齁	snore
龅	protruding teeth
鲟	sturgeon
卜	divine
毗	adjoin
橘	tangerine
梵	Sanskrit
蛞	slug
窦	cavity
鲸	whale
肝	liver
篆	seal script
绵	silk floss
茸	downy
蝓	slug
琐	trifling
冥	dark
瑁	jade
玳	tortoise shell
鳗	eel
葫	bottle gourd
蓉	lotus
龈	gums
椰	coconut
惟	only
猥	humble
楔	wedge
沪	Shanghai
嬛	solitary
芥	mustard
牡	male
麝	musk deer
甄	distinguish
捂	cover
鳟	trout
荼	thistle
癖	habit
鹰	eagle
驼	camel
蛎	oyster
蒜	garlic
盔	helmet
蝇	fly
芦	reed
狩	hunt
睫	eyelashes
腭	palate
胺	amine
谔	honest
桂	cassia
焉	where
阀	valve
羁	restrain
趾	toe
揣	guess
硅	silicon
鲱	herring
薛	surname
匿	hide
浙	Zhejiang
潘	surname
腓	calf
鱿	cuttlefish
骆	camel
鳕	codfish 
喽	bandits
胚	embryo
契	contract
愕	startled
茄	eggplant
薯	potato
〇	zero
梅	plum
蛤	clam
漩	whirlpool
蟹	crab
蜊	clam
螃	crab
潲	slanting rain
