我	I
顿	stop
亏	deficiency
挥	wave
罚	punish
繁	complicated
荣	glory
范	pattern
碍	hinder
妨	hinder
皂	soap
布	cloth
讽	satirize
刺	thorn
扶	support
制	control
括	enclose
壁	wall
隔	to separate
寓	reside
厂	factory
沟	ditch
姑	paternal aunt
娘	mother
古	ancient
掌	palm
骨	bone
乖	obedient
念	read
冠	crown
军	army
滑	slippery
滚	roll
庆	celebrate
敏	quick
豪	grand
华	magnificent
恨	regret
猴	monkey
忽	neglect
壶	pot
胡	reckless
糊	paste
涂	apply
孕	pregnant
慌	panic
灰	ash
跃	jump
伴	partner
器	device
集	gather
诊	examine
录	record
嘉	excellent
甲	first
装	adornment
驶	go fast
驾	drive
强	strong
艰	difficult
捡	pick up
设	set up
筑	to build
酱	paste
浇	pour
训	teach
构	construct
账	account
届	arrive at
戒	to guard
慎	careful
谨	cautious
神	God
救	save
舅	maternal uncle
桔	Platycodon
巨	huge
砍	chop
控	control
夸	boast
扩	enlarge
椒	pepper
烂	rotten
劳	to toil
鼠	rat
姥	grandma
临	face
灵	spirit
域	region
览	look at
浏	clear
龙	dragon
漏	leak
陆	land
骂	scold
麦	wheat
眉	eyebrow
秘	secret
苗	sprout
显	visible
迹	footprint
胜	victory
令	order
摸	feel
模	imitate
摩	to rub
托	entrust
某	some
木	wood
嫩	tender
源	source
宁	peaceful
农	agriculture
村	village
派	group
赔	compensate
偿	repay
培	cultivate
配	join
披	drape
拼	to stake all
启	open
氛	vapor
虚	emptiness
谦	modest
浅	shallow
枪	gun
抢	grab
悄	quiet
瞧	look
妙	wonderful
勤	diligent
青	green
势	power
趋	hasten
权	authority
劝	advise
乏	short of
群	group
燃	burn
绕	wind
类	type
忍	bear
品	product
软	soft
洒	sprinkle
嗓	throat
滩	beach
晒	to dry
闪	dodge
善	good
舍	give up
摄	absorb
伸	stretch
诗	poem
眠	sleep
狮	lion
髦	fashionable
尚	still
石	stone
劲	strength
卷	roll
寿	long life
架	support
摔	fall
税	taxes
丝	silk
绸	silk
似	resemble
碎	break into pieces
损	decrease
锁	lock
阶	stairs
拳	fist
逃	escape
淘	wash
套	cover
倡	initiate
贴	stick
痛	pain
偷	steal
投	throw
土	earth
豆	bean
兔	rabbit
辞	resign
荐	recommend
退	retreat
胁	flank
威	power
维	preserve
巴	long for
尾	tail
委	entrust
屈	bent
胃	stomach
未	not yet
柔	soft
稳	steady
卧	lie
勿	do not
吓	scare
营	camp
载	to carry
县	county
肠	intestines
享	enjoy
项	item
链	chain
征	journey
孝	filial piety
斜	inclined
形	shape
状	state
兄	elder brother
宣	declare
询	inquire
押	mortgage
齿	tooth
宴	feast
痒	itch
腰	waist
咬	bite
余	surplus
依	depend
旦	dawn
致	send
移	to move
义	justice
素	plain
俊	handsome
英	hero
硬	hard
挤	squeeze
拥	embrace
惠	kindness
悠	leisurely
炸	deep fry
娱	amuse
防	defend
圆	round
晕	dizzy
灾	disaster
糟	ruined
造	make
窄	narrow
握	hold
珍	treasure
阵	wave
睁	open
齐	even
政	political
府	government
智	wisdom
慧	intelligent
秩	order
旬	ten days
逐	pursue
竹	bamboo
抓	grab
追	chase
姿	appearance
紫	purple
幕	curtain
综	synthesize
组	group
织	weave
哎	hey
暗	dark
摆	arrange
傍	near
裹	wrap
薄	thin
贝	cowrie
怨	resentment
彼	that
避	avoid
编	to weave
辑	to gather
毒	poison
脖	neck
骤	sudden
访	visit
虹	rainbow
愧	ashamed
惭	ashamed
册	book
测	survey/measure
曾	once
途	way
抄	copy
朝	court
炒	stir-fry
厢	box
沉	submerge
塘	pond
膀	upper arm
翅	wing
屉	drawer
臭	stench
版	edition
初	beginning
帘	curtain
创	wound
汇	converge
催	urge
嚏	sneeze
喷	spout
型	type
呆	foolish
替	substitute
贷	to lend
纯	pure
胆	courage
鬼	ghost
挡	obstruct
岛	island
屿	islet
德	virtue
钓	fish
洞	cave
腐	decay
堆	pile
兑	exchange
蹲	crouch
藏	conceal
躲	hide
恶	evil
劣	inferior
愁	worry
抖	to tremble
映	reflect
佛	Buddha
仿	imitate
废	abolish
析	divide
纷	numerous
斗	fight
俗	custom
狂	mad
疯	insane
幅	width
辅	assist
妇	woman
革	leather
盖	cover
脆	brittle
燥	dry
档	shelves
搞	do
恭	respectful
贡	tribute
献	offer
股	thigh
固	solid
弯	bend
拐	turn
官	official
闭	close
泛	flood
矩	rule
归	return
纳	receive
柜	cupboard
锅	pot
王	king
哈	infatuated
喊	yell
核	nucleus
蝴	butterfly
蝶	butterfly
裔	descendants
缓	slow
幻	fantasy
尘	dust
恢	restore
率	lead
姻	marriage
柴	firewood
烈	intense
肌	muscle
寞	lonesome
寂	silent
庭	courtyard
乡	hometown
夹	sandwich
嫁	marry
肩	shoulder
兼	double
剪	scissors
胶	glue
狡	cunning
猾	sly
触	to touch
属	belong
俱	all
捐	donate
均	equal
匀	even
靠	depend on
颗	small
闲	leisure
宽	wide
虫	insect
昆	descendant
拦	block
朗	clear
婆	grandmother
雷	thunder
梨	pear
厘	centi-
润	moist
益	benefit
恋	love
良	good
食	eat
粮	grain
铃	bell
泪	tears
轮	wheel
逻	patrol
馒	steamed bun
矛	spear
盾	shield
贸	commerce
媒	matchmaker
煤	coal
炭	charcoal
魅	charm
蜜	honey
蜂	bee
描	depict
陌	street
嗯	interjection
浓	concentrated
欧	Europe
拍	pat
盼	hope
佩	wear
盆	basin
碰	touch
疲	weary
匹	mate
飘	float
频	frequency
凭	rely
衡	weigh
迫	compel
企	anticipate
欠	lack
墙	wall
绪	beginnings
娶	marry
圈	to encircle
币	money
弱	weak
杀	kill
漠	desert
傻	foolish
删	to delete
扇	fan
蛇	snake
射	shoot
击	hit
升	ascend
绳	rope
略	brief
践	tread
兵	soldiers
蔬	vegetables
梳	comb
甩	throw
撕	to tear
毫	least
私	private
搜	search
索	search
宿	lodge
缩	shrink
坦	level
烫	scald
桃	peach
殊	different
纲	guiding principle
挑	choose
战	fight
透	penetrate
吐	vomit
团	round
歪	askew
返	return
