160	辛	xīn	Bitter	辜 辣 辞 辟
161	辰	chén	Day time	晨 辱 振 震
162	辶	chuò	Walk	边 达 过 运 远
163	邑 阝	yì	City	那 邦 邮 郊 邕
164	酉	yǒu	Wine vessel	酒 酱 酷
165	釆	biàn	Distinguish	采 釉 释
166	里	lǐ	Village/Unit of distance	重 野 量
167	金 钅	jīn	Metal	银 钉 钟 钥 鉴
168	长	cháng	Long	张 帐 账
169	门	mén	Gate	间 闪 闯 闭 闹
170	阜⻏	fù	Mound	陡 陆 防 际 队
171	隶	lì	Slave	
172	隹	zhuī	Short-tailed bird	难 雀 集 雇
173	雨	yǔ	Rain	雪 零 雷 雾
174	青	qīng	Blue/Green	靓 靖 静
175	非	fēi	Wrong	靠 靡
176	面	miàn	Face	靥 腼
177	革	gé	Leather	靴 鞋
178	韦	wěi	Soft leather	韧 韩 韫
179	韭	jiǔ	Leek	瀣
180	音	yīn	Sound	章 竟 歆 韵
181	页	yè	Page	顶 项 须 顺
182	风	fēng	Wind	飒 飓 飘
183	飞	fēi	Fly	
184	食 饣	shí	Eat	饥 饮 饱 饰 餐
185	首	shǒu	Head	馗
186	香	xiāng	Fragrant	馥 馨
187	马	mǎ	Horse	驰 驹 骂 骇 驳
188	骨	gǔ	Bone	骸 骷 骰
189	高	gāo	High	髚
190	髟	biāo	Long hair	髦 鬃 鬓
191	门/鬥	mén/dòu	Fight	鬧 鬦
192	鬯	chàng	Sacrificial wine	
193	鬲	lì	Cauldron	鬳 鬴 鬵 鬷
194	鬼	guǐ	Ghost	魂 魄 魅
195	鱼	yú	Fish	鲜 鲈 鲑
196	鸟	niǎo	Bird	鸡 鸦 鸭
197	卤	lǔ	Brine	
198	鹿	lù	Deer	麒 麓 麋
199	麦	mài	Wheat	麸
200	麻	má	Hemp	麾 磨 魔
201	黄	huáng	Yellow	横 磺 簧
202	黍	shǔ	Millet	黎 黏
203	黑	hēi	Black	墨 黔 默 黛
204	黹	zhǐ	Embroidery	
205	黾	měng	Frog	鼋
206	鼎	dǐng	Tripod	
207	鼓	gǔ	Drum	
208	鼠	shǔ	Rat	
209	鼻	bí	Nose	鼾 齁
210	齐	qí	Neat	挤 剂 济
211	齿	chǐ	Tooth	龄 龅
212	龙	lóng	Dragon	龚 笼 珑
213	龟	guī	Turtle	
214	龠	yuè	Flute	
