唉	/alas/oh dear/
时期	/period/phase/CL:個|个[ge4]/
实话	/truth/
实践	/practice/to put into practice/to live up to (a promise)/to carry out (a project)/
实现	/to achieve; to implement; to realize; to bring about/
实用	/practical/functional/pragmatic/applied (science)/
食物	/food/CL:種|种[zhong3]/
士兵	/soldier/CL:個|个[ge4]/
似的	/seems as if/rather like/Taiwan pr. [si4 de5]/
事实	/fact/CL:個|个[ge4]/
事先	/in advance/before the event/beforehand/prior/
收获	/to harvest/to reap/to gain/crop/harvest/profit/gain/bonus/reward/
手套	/glove/mitten/CL:雙|双[shuang1],隻|只[zhi1]/
手指	/finger/CL:個|个[ge4],隻|只[zhi1]/
蔬菜	/vegetables/CL:種|种[zhong3]/
舒适	/cozy/snug/
梳子	/comb/CL:把[ba3]/
属于	/to be classified as/to belong to/to be part of/
数	/(literary) frequently; repeatedly/
甩	/to throw/to fling/to swing/to leave behind/to throw off/to dump (sb)/
说不定	/can't say for sure/maybe/
撕	/to tear/
丝毫	/the slightest amount or degree/a bit/
思考	/to reflect on/to ponder over/
私人	/private/personal/interpersonal/sb with whom one has a close personal relationship/a member of one's clique/
搜索	/to search (a place)/to search (a database)/to search for (sth)/
宿舍	/dormitory/dorm room/living quarters/hostel/CL:間|间[jian1]/
随时	/at any time; at all times/at the right time; whenever necessary/
随手	/conveniently/without extra trouble/while doing it/in passing/
缩短	/to curtail/to cut down/
所	/actually/place/classifier for houses, small buildings, institutions etc/that which/particle introducing a relative clause or passive/CL:個|个[ge4]/
太太	/married woman/Mrs./Madam/wife/CL:個|个[ge4],位[wei4]/
谈判	/to negotiate/negotiation/talks/conference/CL:個|个[ge4]/
坦率	/frank (discussion)/blunt/open/
烫	/to scald/to burn (by scalding)/to blanch (cooking)/to heat (sth) up in hot water/to perm/to iron/scalding hot/
桃	/peach/
逃避	/to escape/to evade/to avoid/to shirk/
特殊	/special/particular/unusual/extraordinary/
特征	/characteristic/diagnostic property/distinctive feature/trait/
疼爱	/to love dearly/
提纲	/outline/synopsis/notes/
提问	/to question; to quiz; to grill/
体会	/to know from experience/to learn through experience/to realize/understanding/experience/
体现	/to embody/to reflect/to incarnate/
调皮	/naughty/mischievous/unruly/
挑战	/to challenge/challenge/
痛苦	/pain/suffering/painful/CL:個|个[ge4]/
投入	/to throw into/to put into/to throw oneself into/to participate in/to invest in/absorbed/engrossed/
透明	/transparent/(fig.) transparent; open to scrutiny/
土地	/local god/genius loci/
吐	/to vomit/to throw up/
团	/dumpling/
推广	/to extend/to spread/to popularize/generalization/promotion (of a product etc)/
退步	/to do less well than before/to make a concession/setback/backward step/leeway/room to maneuver/fallback/
歪	/to sprain (one's ankle) (Tw)/
外交	/diplomacy/diplomatic/foreign affairs/CL:個|个[ge4]/
完美	/perfect/
完善	/(of systems, facilities etc) comprehensive/well-developed/excellent/to refine/to improve/
王子	/prince/son of a king/
往返	/to go back and forth; to go to and fro; to do a round trip/
网络	/network (computing, telecommunications, transport etc)/
危害	/to jeopardize/to harm/to endanger/harmful effect/damage/CL:個|个[ge4]/
微笑	/smile/CL:個|个[ge4],絲|丝[si1]/to smile/
违反	/to violate (a law)/
围巾	/scarf/shawl/CL:條|条[tiao2]/
唯一	/only; sole/
伟大	/huge; great; grand; worthy of the greatest admiration; important (contribution etc)/
胃口	/appetite/liking/
位置	/position/place/seat/CL:個|个[ge4]/
未来	/future/tomorrow/CL:個|个[ge4]/approaching/coming/pending/
温暖	/warm/
闻	/to hear/news/well-known/famous/reputation/fame/to smell/to sniff at/
文件	/document/file/CL:份[fen4]/
文明	/civilized/civilization/culture/CL:個|个[ge4]/
文字	/character/script/writing/written language/writing style/phraseology/CL:個|个[ge4]/
吻	/variant of 吻[wen3]/
握手	/to shake hands/
屋子	/house/room/CL:間|间[jian1]/
无奈	/to have no alternative/frustrated/exasperated/helpless/(conjunction) but unfortunately/
无所谓	/to be indifferent/not to matter/cannot be said to be/
武术	/military skill or technique (in former times)/all kinds of martial art sports (some claiming spiritual development)/self-defense/tradition of choreographed fights from opera and film (recent usage)/also called kungfu 功夫/CL:種|种[zhong3]/
雾	/fog/mist/CL:場|场[chang2],陣|阵[zhen4]/
物理	/physics/
吸收	/to absorb/to assimilate/to ingest/to recruit/
系	/to connect/to arrest/to worry/
细节	/details; particulars/
瞎	/blind/groundlessly/foolishly/to no purpose/
鲜艳	/bright-colored; gaily-colored/
显得	/to seem/to look/to appear/
显示	/to show/to illustrate/to display/to demonstrate/
现代	/modern times/modern age/modern era/
现实	/reality; actuality/real; actual/realistic; pragmatic; materialistic; self-interested/
限制	/to restrict/to limit/to confine/restriction/limit/CL:個|个[ge4]/
相处	/to be in contact (with sb)/to associate/to interact/to get along (well, poorly)/
相对	/relatively/opposite/to resist/to oppose/relative/vis-a-vis/counterpart/
相关	/related/relevant/pertinent/to be interrelated/(statistics) correlation/
想象	/to imagine; to envision/imagination/
项	/back of neck/item/thing/term (in a mathematical formula)/sum (of money)/classifier for principles, items, clauses, tasks, research projects etc/
项目	/item/project/(sports) event/CL:個|个[ge4]/
象棋	/Chinese chess/CL:副[fu4]/
消费	/to consume (goods and services, resources etc)/
消化	/to digest (food)/(fig.) to absorb (information etc); to assimilate; to process/
销售	/to sell/to market/sales (representative, agreement etc)/
小麦	/wheat/CL:粒[li4]/
效率	/efficiency/
歇	/to rest/to take a break/to stop/to halt/(dialect) to sleep/a moment/a short while/
欣赏	/to appreciate; to enjoy; to admire/
信号	/signal/
行动	/operation/action/CL:個|个[ge4]/to move about/mobile/
行人	/pedestrian/traveler on foot/passer-by/official responsible for arranging audiences with the emperor/
形成	/to form; to take shape/
形式	/outer appearance/form/shape/formality/CL:個|个[ge4]/
形象	/image/form/figure/CL:個|个[ge4]/visualization/vivid/
性质	/nature/characteristic/CL:個|个[ge4]/
幸亏	/fortunately/luckily/
胸	/chest/bosom/heart/mind/thorax/
修改	/to amend/to alter/to modify/
休闲	/leisure/relaxation/not working/idle/to enjoy leisure/to lie fallow/
叙述	/to relate (a story or information)/to tell or talk about/to recount/narration/telling/narrative/account/
宣传	/to disseminate/to give publicity to/propaganda/CL:個|个[ge4]/
学历	/educational background/academic qualifications/
学问	/learning/knowledge/CL:個|个[ge4]/
血	/blood/colloquial pr. [xie3]/CL:滴[di1],片[pian4]/
寻找	/to seek; to look for/
迅速	/rapid/speedy/fast/
延长	/to prolong/to extend/to delay/
严肃	/solemn/grave/serious/earnest/severe/
演讲	/to give a lecture; to make a speech/
阳台	/balcony/porch/
摇	/to shake/to rock/to row/to crank/
要不	/otherwise/or else/how about...?/either... (or...)/
业务	/business/professional work/service/CL:項|项[xiang4]/
一辈子	/(for) a lifetime/
一律	/same/uniformly/all/without exception/
移动	/to move/movement/migration/mobile/portable/
遗憾	/regret/to regret/to be sorry that/
乙	/turning stroke (in Chinese characters), aka 折[zhe2]/
以及	/as well as/too/and/
亿	/100 million/
意义	/sense/meaning/significance/importance/CL:個|个[ge4]/
因而	/therefore/as a result/thus/and as a result, .../
银	/silver/silver-colored/relating to money or currency/
印刷	/to print/printing/
英雄	/hero/CL:個|个[ge4]/
迎接	/to welcome; to greet/
营业	/to do business/to trade/
影子	/shadow/reflection/(fig.) hint/indication/influence/CL:個|个[ge4]/
硬件	/hardware/
拥抱	/to embrace/to hug/
用途	/use; application/
优美	/graceful/fine/elegant/
游览	/to go sightseeing/to tour/to visit/CL:次[ci4]/
犹豫	/to hesitate/
幼儿园	/kindergarten/nursery school/
与其	/rather than... (used in expressions of the form 與其|与其[yu3qi2] + {verb1} + 不如[bu4ru2] + {verb2} "rather than {verb1}, better to {verb2}")/
语气	/tone/manner of speaking/mood/CL:個|个[ge4]/
预订	/to place an order/to book ahead/
玉米	/corn/maize/CL:粒[li4]/
原料	/raw material/
原则	/principle/doctrine/CL:個|个[ge4]/
乐器	/musical instrument/CL:件[jian4]/
运输	/to transport/to carry/transportation/
在于	/to rest with; to lie in; to be due to (a certain attribute)/(of a matter) to be determined by; to be up to (sb)/
赞美	/to admire/to praise/to eulogize/
则	/(literary) (conjunction used to express contrast with a previous clause) but; then/(bound form) standard; norm/(bound form) principle/(literary) to imitate; to follow/classifier for written items/
摘	/to take; to pick (flowers, fruit etc); to pluck; to remove; to take off (glasses, hat etc)/to select; to pick out/to borrow money at a time of urgent need/
粘贴	/to stick/to affix/to adhere/to paste (as in "copy and paste")/Taiwan pr. [nian2 tie1]/also written 黏貼|黏贴[nian2 tie1]/
展览	/to put on display/to exhibit/exhibition/show/CL:個|个[ge4],次[ci4]/
占	/to take possession of/to occupy/to take up/
战争	/war; conflict/CL:場|场[chang2],次[ci4]/
长辈	/one's elders/older generation/
涨	/to swell/to distend/
招待	/to hold a reception; to offer hospitality; to entertain (guests); to serve (customers)/
着火	/to catch fire/
着凉	/to catch cold/Taiwan pr. [zhao1 liang2]/
召开	/to convene (a conference or meeting)/to convoke/to call together/
照常	/as usual/
哲学	/philosophy/CL:個|个[ge4]/
真实	/true; real/
针对	/to target; to focus on; to be aimed at or against; in response to/
诊断	/to diagnose/
振动	/to vibrate/to shake/vibration/
争论	/to argue/to debate/to contend/argument/contention/controversy/debate/CL:次[ci4],場|场[chang3]/
征求	/to solicit/to seek/to request (opinions, feedback etc)/to petition/
整体	/whole entity/entire body/synthesis/as a whole (situation, construction, team etc)/global/macrocosm/integral/holistic/whole/
政治	/politics/political/
证据	/evidence/proof/testimony/
挣	/to struggle to get free/to strive to acquire/to make (money)/
直	/straight/to straighten/fair and reasonable/frank/straightforward/(indicates continuing motion or action)/vertical/vertical downward stroke in Chinese characters/
执照	/license; permit/
指挥	/to conduct/to command/to direct/conductor (of an orchestra)/CL:個|个[ge4]/
制度	/system (e.g. political, adminstrative etc)/institution/CL:個|个[ge4]/
制作	/to make; to manufacture/
至今	/so far/to this day/until now/
至于	/as for/as to/to go so far as to/
治疗	/to treat (an illness)/medical treatment/therapy/
志愿者	/volunteer/
中心	/center; heart; core/
种类	/kind/genus/type/category/variety/species/sort/class/
重大	/great/important/major/significant/
重量	/weight/CL:個|个[ge4]/
猪	/hog/pig/swine/CL:口[kou3],頭|头[tou2]/
逐渐	/gradually/
煮	/to cook/to boil/
主动	/to take the initiative/to do sth of one's own accord/spontaneous/active/opposite: passive 被動|被动[bei4 dong4]/drive (of gears and shafts etc)/
主人	/master/host/owner/CL:個|个[ge4]/
主席	/chairperson/premier/chairman/CL:個|个[ge4],位[wei4]/
主张	/to advocate/to stand for/view/position/stand/proposition/viewpoint/assertion/CL:個|个[ge4]/
祝福	/blessings/to wish sb well/
注册	/to register/to enroll/
抓紧	/to keep a firm grip on/to pay close attention to/to lose no time in (doing sth)/
转变	/to change/to transform/shift/transformation/CL:個|个[ge4]/
装饰	/to decorate/decoration/decorative/ornamental/
撞	/to knock against/to bump into/to run into/to meet by accident/
状态	/condition; state; state of affairs/CL:個|个[ge4]/
追求	/to pursue (a goal etc) stubbornly/to seek after/to woo/
资金	/funds; capital/
资源	/natural resource (such as water or minerals)/resource (such as manpower or tourism)/
咨询	/to consult/to seek advice/consultation/(sales) inquiry (formal)/
字母	/letter (of the alphabet)/CL:個|个[ge4]/
自从	/since (a time)/ever since/
自豪	/proud (of one's achievements etc)/
自觉	/conscious/aware/on one's own initiative/conscientious/
自私	/selfish/selfishness/
自愿	/voluntary/
总裁	/chairman/director-general (of a company etc)/
总统	/president (of a country)/CL:個|个[ge4],位[wei4],名[ming2],屆|届[jie4]/
组	/to form/to organize/group/team/classifier for sets, series, groups of people, batteries/
组合	/to assemble; to combine; to compose/combination; association; set; compilation/(math.) combinatorial/
阻止	/to prevent/to block/
醉	/intoxicated/
最初	/first/primary/initial/original/at first/initially/originally/
尊敬	/to respect; to revere; to esteem/honorable; distinguished (used on formal occasions before a term of address)/
遵守	/to comply with; to abide by; to respect (an agreement)/
作品	/work (of art)/opus/CL:部[bu4],篇[pian1]/
作为	/one's conduct/deed/activity/accomplishment/achievement/to act as/as (in the capacity of)/qua/to view as/to look upon (sth as)/to take sth to be/
